600,1200,1800,2400,3000,3600
-601.0,-1201.0,-1802.0,-2402.0,-3001.0,-3602.0
-601.0,-1203.0,-1799.0,-2402.0,-3002.0,-3600.0
-602.0,-1202.0,-1801.0,-2403.0,-3003.0,-3601.0
-602.0,-1200.0,-1803.0,-2400.0,-3001.0,-3604.0
-601.0,-1202.0,-1804.0,-2401.0,-3001.0,-3602.0
-602.0,-1201.0,-1803.0,-2402.0,-3001.0,-3602.0
